,departure.iataCode,arrival.iataCode,airline.name,flight.number,delay_total_min,departure.month,flight_duration_min,delay_true
0,gru,aju,air france,1960,264,1,160,1
1,gru,aju,sa avianca,4678,264,1,160,1
2,gru,aju,copa airlines,3741,264,1,160,1
3,gru,aju,emirates,3645,264,1,160,1
4,gru,aju,ethiopian airlines,4108,264,1,160,1
5,gru,aju,klm,9326,264,1,160,1
6,gru,aju,tap air portugal,5995,264,1,160,1
7,gru,aju,air europa,2670,264,1,160,1
8,gru,aju,american airlines,7778,264,1,160,1
9,gru,aju,gol,1538,264,1,160,1
10,gru,aju,air france,1960,275,1,160,1
11,gru,aju,sa avianca,4678,275,1,160,1
12,gru,aju,copa airlines,3741,275,1,160,1
13,gru,aju,emirates,3645,275,1,160,1
14,gru,aju,ethiopian airlines,4108,275,1,160,1
15,gru,aju,klm,9326,275,1,160,1
16,gru,aju,tap air portugal,5995,275,1,160,1
17,gru,aju,air europa,2670,275,1,160,1
18,gru,aju,american airlines,7778,275,1,160,1
19,gru,aju,gol,1538,275,1,160,1
20,gru,aju,aeromexico,8088,263,1,160,1
21,gru,aju,aerolineas argentinas,7634,263,1,160,1
22,gru,aju,copa airlines,3577,263,1,160,1
23,gru,aju,ethiopian airlines,4120,263,1,160,1
24,gru,aju,tap air portugal,4129,263,1,160,1
25,gru,aju,air europa,2350,263,1,160,1
26,gru,aju,american airlines,7776,263,1,160,1
27,gru,aju,gol,1504,263,1,160,1
28,gru,aju,air france,1960,258,1,160,1
29,gru,aju,sa avianca,4678,258,1,160,1
30,gru,aju,copa airlines,3741,258,1,160,1
31,gru,aju,emirates,3645,258,1,160,1
32,gru,aju,ethiopian airlines,4108,258,1,160,1
33,gru,aju,klm,9326,258,1,160,1
34,gru,aju,tap air portugal,5995,258,1,160,1
35,gru,aju,air europa,2670,258,1,160,1
36,gru,aju,american airlines,7778,258,1,160,1
37,gru,aju,gol,1538,258,1,160,1
38,gru,aju,aeromexico,8088,274,1,160,1
39,gru,aju,aerolineas argentinas,7634,274,1,160,1
40,gru,aju,copa airlines,3577,274,1,160,1
41,gru,aju,ethiopian airlines,4120,274,1,160,1
42,gru,aju,tap air portugal,4129,274,1,160,1
43,gru,aju,air europa,2350,274,1,160,1
44,gru,aju,american airlines,7776,274,1,160,1
45,gru,aju,gol,1504,274,1,160,1
46,gru,aju,air france,1960,257,1,160,1
