year,city_code,city_name,city_cluster_type_grouped,GDP_agrobusiness_(BRL1000),GDP_industrials_(BRL1000),GDP_services_(BRL1000),GDP_public_sector_spend_(BRL1000),GDP_per_capita_year,region_id,region_name,state_id,state_name,population_size_2012,metropolitan_area,metropolitan_area_code,passengers,latitude_radian,longitude_radian,count_airports,total_airports_surronding_metrop_region,metropolitan_area_km2,predicted_passengers
2023,1100015,Alta Floresta D'Oeste,Centro Local,327237.0,29257.0,181165.0,181886.0,34272.0,1,Norte,11,Rondônia,24516.0,Cacoal,110005,,-0.2081881091656396,-1.0820221057616406,0.0,1.0,36166.46,11117.0
2023,1100023,Ariquemes,Centro Sub-Regional,307834.0,426899.0,1374144.0,821911.0,30340.0,1,Norte,11,Rondônia,95836.0,Ariquemes,110002,,-0.1728872542477275,-1.1001246607633255,0.0,0.0,23260.95,23005.0
2023,1100031,Cabixi,Centro Local,143578.0,8526.0,37681.0,48937.0,49434.0,1,Norte,11,Rondônia,6207.0,Vilhena,110006,,-0.2355234559103748,-1.0568317686676063,0.0,1.0,31449.639,11117.0
2023,1100049,Cacoal,Capital Regional,358594.0,248706.0,1261412.0,660958.0,33949.0,1,Norte,11,Rondônia,81487.0,Cacoal,110005,41162.0,-0.1995661826607876,-1.0726130357641392,1.0,1.0,36166.46,
2023,1100056,Cerejeiras,Centro de Zona,159369.0,28799.0,324293.0,129610.0,48525.0,1,Norte,11,Rondônia,17182.0,Vilhena,110006,,-0.2301565684604922,-1.0614534005268874,0.0,1.0,31449.639,429.0
2023,1100064,Colorado do Oeste,Centro de Zona,129776.0,30252.0,130906.0,120697.0,29338.0,1,Norte,11,Rondônia,18332.0,Vilhena,110006,,-0.2289418193011042,-1.0567165769369748,0.0,1.0,31449.639,1517.0
2023,1100072,Corumbiara,Centro Local,273927.0,14712.0,47689.0,63599.0,59105.0,1,Norte,11,Rondônia,8636.0,Vilhena,110006,,-0.2261091499251173,-1.062813012014191,0.0,1.0,31449.639,34596.0
2023,1100080,Costa Marques,Centro Local,122696.0,7020.0,56095.0,134539.0,17278.0,1,Norte,11,Rondônia,14948.0,Ji-Paraná,110004,,-0.2170613630827788,-1.1209900719709178,0.0,1.0,45080.055,13287.0
2023,1100098,Espigão D'Oeste,Centro Local,212682.0,57457.0,232360.0,228523.0,24615.0,1,Norte,11,Rondônia,30050.0,Cacoal,110005,,-0.2011771215603784,-1.0650906666880435,0.0,1.0,36166.46,21861.0
2023,1100106,Guajará-Mirim,Centro Sub-Regional,81362.0,42522.0,458427.0,335396.0,23601.0,1,Norte,11,Rondônia,43403.0,Porto Velho,110001,,-0.1883018276684162,-1.1402166190108876,0.0,1.0,79943.767,1864.0
